author,isbn
Eva Carballeira Díaz,9780399562495
Jesús De La Torre Olid,9780399562495
,9780399562495
Pam Jenoff,9780778389385
Madeline Miller,9780316556323
Casey McQuiston,9781250316776
Casey Mcquiston,9781250316776
Ramon De Ocampo,9781250316776
Christina Lauren,9781501128035
Rupi Kaur,9781449486808
Bessel A. Van Der Kolk,9780143127741
Bryan Stevenson,9780812984965
Robin J. DiAngelo,9780807047415
Trevor Noah,9780399588198
Michelle Obama,9781524763145
David Grann,9780307742483
Daniel Kahneman,9780374533557
Yuval Noah Harari,9780062316110
Giuseppe Bernardi,9780062316110
David Vandermeulen,9780062316110
Daniel Casanave,9780062316110
Jessica Bruder,9780393356311
Robin Wall Kimmerer,9781571313560
Chris Wallace,9781982143350
Mitch Weiss,9781982143350
Malcolm Gladwell,9780316017930
Rashid Khalidi,9781250787651
Charlie Mackesy,9780062976581
James Clear,9780735211292
Daniel Howell,9780063053885
Shannon Bream,9780063046597
Anthony Bourdain,9780062802798
Laurie Woolever,9780062802798
William H. McRaven,9781455570249
William H. McRaven,9781455570249
Make Your Make Your Bed,9781455570249
Mark Manson,9780062457714
Jordan B. Peterson,9780593084649
Jason Reynolds,9780316167581
Ibram X. Kendi,9780316167581
R. J. Palacio,9780375869020
Katherine A. Applegate,9780062991317
Patricia Castelao,9780062991317
Danny DeVito,9780062991317
J. K. Rowling,9781338732870
Stephen Fry,9781338732870
Clémentine Beauvais,9781338732870
James Patterson,9780316500241
Chris Grabenstein,9780316500241
Alan Gratz,9781338245752
B. B. Alston,9780062975164
Michelle Obama,9780593303740
Eric Carle,9780593226186
Emily Winfield Martin,9780385376716
Gabrielle Union,9780063054035
Dwyane Wade,9780063054035
Tara Nicole Whitaker,9780063054035
Brad Montague,9780593323182
Kristi Montague,9780593323182
Matthew A. Cherry,9780525553366
Matthew Cherry,9780525553366
Joanna Ho,9780062915627
Dung Ho,9780062915627
Carole Lindstrom,9781250203557
Michaela Goade,9781250203557
Leigh Bardugo,9781250027436
Jeff Kinney,9781419756979
J. K. Rowling,9780590353427
Tui T. Sutherland,9781338214543
Rick Riordan,9781484707234
John Rocco,9781484707234
Dav Pilkey,9781338347241
Stephenie Meyer,9780316707046
Victoria Aveyard,9780062872623
Maggie Stiefvater,9781338188363
Jason Reynolds,9780316453691
Ibram X. Kendi,9780316453691
Leigh Bardugo,9781250142306
Emiko Jean,9781250766601
Ali Ahn,9781250766601
Alexandra Bracken,9781484778203
Angeline Boulley,9781250766564
Angie Thomas,9780062846716
Holly Jackson,9781984896407
James Clear,9780735211292
Dana Perino,9781538737088
Patrick Radden Keefe,9780385545686
Jessica Bruder,9780393356311
Tiffany the Budgetnista Aliche,9780593232743
Bill Gates,9780385546133
Ramit Sethi,9781523505746
Jocko Willink,9781250183866
Daniel Kahneman,9780374533557
Dav Pilkey,9781338680454
Dav Pilkey,9781338712766
Dav Pilkey,9781338535624
FGTeeV,9780063042636
Miguel Díaz Rivas,9780063042636
Gabriela Epstein,9781338304572
Dav Pilkey,9781338236590
Kira Breed-Wrisley,9781338629767
Scott Cawthon,9781338629767
Tatsuya Endo,9781974715466
Debbie Macomber,9780399181382
Sandy Rustin,9780399181382
Roger Wayne Jr.,9780399181382
Danielle Steel,9780399179617
Todd McLaren,9780399179617
Nora Roberts,9781250781383
John Sandford,9780525539544
James Patterson,9781538764817
Howard Roughan,9781538764817
Mike Maden,9780593188071
John Grisham,9780593157770
Julia Quinn,9780062353658
Julia Quinn,9780063078901
Nora Roberts,9781335230973
William W. Johnstone,9780786047888
Katherine A. Applegate,9780061992278
Linda Sue Park,9780547577319
Gordon Korman,9781338053807
Barbara O'Connor,9781250144058
Sharon M. Draper,9781416971719
Rosanne Parry,9780062895943
Lynda Mullaly Hunt,9780142426425
Kelly Yang,9781338157826
Jewell Parker Rhodes,9780316493796
E. Lockhart,9780385741279
Leigh Bardugo,9781250076960
Holly Jackson,9781984896391
Leigh Bardugo,9781250076977
Natasha Preston,9780593124970
Markus Zusak,9780375842207
Markus Zusak,9780375842207
John Boyne,9780385751537
Jason Reynolds,9781481438261
John Grisham,9780385545938
Delia Owens,9780735219090
Celeste Ng,9780735224315
Stephen King,9781982137977
David Baldacci,9781538761465
James Patterson,9780316420280
Maxine Paetro,9780316420280
Sally Rooney,9781984822185
Alice Birch,9781984822185
Mark O'Rowe,9781984822185
Jodi Picocell,9781501133510
Jeanine Cummins,9781250209764
Lee Child,9780399593567
Emma Straub,9781594634697
Glennon Doyle,9781984801258
Michelle Obama,9781524763138
Erik Larson,9780385348713
Tara Westover,9780399590504
John M. Barry,9780143036494
Robert Kolker,9780385543767
Kent Heckenlively,9781510752245
Judy Mikovits,9781510752245
Robert Jr. F. Kennedy,9781510752245
Bessel A. Van Der Kolk,9780143127741
Brad Meltzer,9781250317476
Josh Mensch,9781250317476
Angela Duckworth,9781501111129
Dan Crenshaw,9781538733301
Robin J. DiAngelo,9780807047415
Yuval Noah Harari,9780062316110
Giuseppe Bernardi,9780062316110
David Vandermeulen,9780062316110
Daniel Casanave,9780062316110
Delia Owens,9780735219090
John Grisham,9780385545938
Stephen King,9781982137977
David Baldacci,9781538761465
James Patterson,9780316420280
Maxine Paetro,9780316420280
Jodi Picocell,9781501133510
Jeanine Cummins,9781250209764
Scott Turow,9781538748138
Emma Straub,9781594634697
Sue Monk Kidd,9780525429760
Lisa Wingate,9781984819888
Danielle Steel,9780399179594
Todd McLaren,9780399179594
Jojo Moyes,9780399562488
Eva Carballeira Díaz,9780399562488
Jesús De La Torre Olid,9780399562488
,9780399562488
Alka Joshi,9780778309451
Christopher Moore,9780062434029
Glennon Doyle,9781984801258
Michelle Obama,9781524763138
Erik Larson,9780385348713
Tara Westover,9780399590504
Kent Heckenlively,9781510752245
Judy Mikovits,9781510752245
Robert Jr. F. Kennedy,9781510752245
Brad Meltzer,9781250317476
Josh Mensch,9781250317476
Robert Kolker,9780385543767
Dan Crenshaw,9781538733301
Hilarie Burton,9780062862754
Molly Ball,9781250252869
Brie Bella,9781501191916
Nikki Bella,9781501191916
Willie Mays,9781250230423
John Shea,9781250230423
Bob Costas,9781250230423
James Patterson,9780316454483
Malcolm Gladwell,9780316478526
Sally Rooney,9781984822185
Alice Birch,9781984822185
Mark O'Rowe,9781984822185
Celeste Ng,9780735224315
Lisa Jewell,9781501154652
Heather Morris,9780062797155
Lisa Wingate,9780425284704
Richard Powers,9780393356687
Madeline Miller,9780316556323
Kristin Hannah,9781250080400
Michael Connelly,9781538733721
Andre Aciman,9781250169440
Kim Michele Richardson,9781492671527
Bessel A. Van Der Kolk,9780143127741
John M. Barry,9780143036494
Robin J. DiAngelo,9780807047415
Yuval Noah Harari,9780062316110
Giuseppe Bernardi,9780062316110
David Vandermeulen,9780062316110
Daniel Casanave,9780062316110
Trevor Noah,9780399588198
Bryan Stevenson,9780812984965
David McCullough,9781501168703
Robin Wall Kimmerer,9781571313560
Angela Duckworth,9781501111112
Daniel Kahneman,9780374533557
Michael Lewis,9780393357455
Malcolm Gladwell,9780316017930
Samantha Irby,9780525563488
Joanna Gaines,9780062820181
Michael Todd,9780593192573
Charlie Mackesy,9780062976581
Joanna Gaines,9780062820150
Marah Stets,9780062820150
James Clear,9780735211292
Will Bulsiewicz MD,9780593084564
Mark Manson,9780062457714
Anthony William,9781401958459
Jennie Allen,9781601429643
Marlo Thomas,9780062982582
Phil Donahue,9780062982582
Katherine A. Applegate,9780062991317
Patricia Castelao,9780062991317
Danny DeVito,9780062991317
America's Test Kitchen Kids,9781492677697
R. J. Palacio,9780375869020
Jeff Kinney,9781419740275
Tui T. Sutherland,9781338214604
Katherine A. Applegate,9781250306869
Chris Colfer,9780316523479
James Patterson,9780316530415
Mo Willems,9781423199571
Emily Winfield Martin,9780385376716
Adam Rubin,9780803736801
Daniel Salmieri,9780803736801
Drew Daywalt,9780399255373
Alice Schertle,9781328852137
Jill McElmurry,9781328852137
Mo Willems,9781484799673
Adam Wallace,9781492669739
B. J. Novak,9780803741713
J. K. Rowling,9780590353427
Dav Pilkey,9781338323214
Jeff Kinney,9781419739033
Aaron Blabey,9781338305845
Dav Pilkey,9781338347210
Len Forgione,9781338347210
Winston Bromhead,9781338347210
I'ke Mitchell,9781338347210
Rick Riordan,9781484707234
John Rocco,9781484707234
Suzanne Collins,9780545670319
Kiera Cass,9780062291639
Cassandra Clare,9781481431873
Elizabeth Acevedo,9780062882769
Tomi Adeyemi,9781250170996
Angie Thomas,9780062498533
Rachael Lippincott,9781534451568
Karen M. McManus,9780525707967
Holly Jackson,9781984896360
Tomi Adeyemi,9781250170972
James Clear,9780735211292
Marie Kondo,9780316423328
Daniel Kahneman,9780374533557
John Carreyrou,9781524731663
Malcolm Gladwell,9780316017930
Jocko Willink,9781250183866
Angela Duckworth,9781501111112
Doris Kearns Goodwin,9781476795928
Doris Kearns Goodwin,9781476795928
Raina Telgemeier,9780545852500
Shannon Hale,9781250317469
Leuyen Pham,9781250317469
Raina Telgemeier,9780545326995
Jerry Craft,9780062691194
Katy Farina,9781338315196
Raina Telgemeier,9780545540629
FGTeeV,9780062933676
Miguel Díaz Rivas,9780062933676
Raina Telgemeier,9780545540605
 Nathan W. Pyle,9780062970701
Raina Telgemeier,9780545132060
Maria Scrivan,9781338538199
Maria Scrivan,9781338538199
Kayla Miller,9781328530820
John Patrick Green,9781250219954
Ngozi Ukazu,9781250179500
Kohei Horikoshi,9781421582702
Celeste Ng,9780735224315
Nora Roberts,9781250247094
John Grisham,9781524797157
A. J Finn,9780062678423
Nora Roberts,9781335145796
Katherine A. Applegate,9780061992278
Kelly Regan Barnhill,9781616207465
Isabel Murillo,9781616207465
Kate DiCamillo,9780763680909
Bagram Ibatoulline,9780763680909
Sara Pennypacker,9780062377029
Julie Sykes,9781984850829
Barbara O'Connor,9781250144058
Linda Sue Park,9780547577319
Thanhha Lai,9780061962790
Jennifer Niven,9780593118924
John Boyne,9780385751537
Natasha Preston,9780593124963
Bryan Stevenson,9780525580065
Scott Cawthon,9781338576023
Carly Anne West,9781338576023
Andrea Waggener,9781338576023
Stephen Chbosky,9781451696196
Scott Cawthon,9781338576016
Erika L. Sánchez,9781524700515
Nicola Yoon,9780553496710
Samira Ahmed,9780316522700
Delia Owens,9780735219090
James Patterson,9780316420266
Maxine Paetro,9780316420266
E. L. James,9781984898326
Lee Child,9780399593536
David Baldacci,9781538761410
Danielle Steel,9780399179327
Mary Kay Andrews,9781250126108
Heather Morris,9780062797155
Celeste Ng,9780735224315
Sarah Blake,9781250110251
Howard Stern,9781501194290
David McCullough,9781501168680
Tara Westover,9780399590504
Michelle Obama,9781524763138
Rick Atkinson,9781627790437
George Newbern,9781627790437
Casey Cep,9781101947869
Tom Cotton,9780062863157
David Brooks,9780812993264
Lori Gottlieb,9781328662057
LORI GOTTLIEB,9781328662057
Rick Reilly,9780316528085
Chelsea Handler,9780525511779
Yuval Noah Harari,9780062316110
Giuseppe Bernardi,9780062316110
David Vandermeulen,9780062316110
Daniel Casanave,9780062316110
Delia Owens,9780735219090
James Patterson,9780316420266
Maxine Paetro,9780316420266
Dean Koontz,9780525484707
David Baldacci,9781538761410
Danielle Steel,9780399179327
Sarah Blake,9781250110251
Mary Kay Andrews,9781250126108
John Sandford,9780525536581
George R. R. Martin,9781524796280
Sally Rooney,9781984822178
Alice Birch,9781984822178
Mark O'Rowe,9781984822178
Jeffery Deaver,9780525535942
Alex Michaelides,9781250301697
Martha Hall Kelly,9781524796372
Janet Evanovich,9780525536642
Peter Evanovich,9780525536642
Ted Chiang,9781101947883
Howard Stern,9781501194290
David McCullough,9781501168680
Michelle Obama,9781524763138
Tara Westover,9780399590504
Rick Atkinson,9781627790437
George Newbern,9781627790437
David Brooks,9780812993264
Tom Cotton,9780062863157
Casey Cep,9781101947869
Chelsea Handler,9780525511779
Rick Reilly,9780316528085
Common,9781501133152
David Cone,9781538748848
Jared Diamond,9780316409131
Lori Gottlieb,9781328662057
LORI GOTTLIEB,9781328662057
E. L. James,9781984898326
Celeste Ng,9780735224315
Heather Morris,9780062797155
A. J Finn,9780062678423
Ruth Ware,9781501156250
Gail Honeyman,9780735220690
Amor Towles,9780143110439
Michael Connelly,9781538731758
Nora Roberts,9781250161604
James Patterson,9781538713761
Tommy Orange,9780525436140
Richard Powers,9780393356687
Pam Jenoff,9780778330271
W. Bruce Cameron,9781250225375
Casey McQuiston,9781250316776
Casey Mcquiston,9781250316776
Ramon De Ocampo,9781250316776
Trevor Noah,9780399588198
Yuval Noah Harari,9780062316110
Giuseppe Bernardi,9780062316110
David Vandermeulen,9780062316110
Daniel Casanave,9780062316110
Michael Pollan,9780735224155
Robin J. DiAngelo,9780807047415
Bessel A. Van Der Kolk,9780143127741
Jon Meacham,9780399589829
Rachel Held Evans,9780718022129
Bryan Stevenson,9780812984965
Robert S. Mueller III,9781612197814
Special Counsel's Office Dept of Justice,9781612197814
Angela Duckworth,9781501111112
Atul Gawande,9781250076229
Matthew P. Walker,9781501144325
David Grann,9780307742483
Mark Manson,9780062457714
William H. McRaven,9781455570249
William H. McRaven,9781455570249
Make Your Make Your Bed,9781455570249
Rachel Hollis,9781400201655
Rachel Hollis,9781400209606
Brené Brown,9781592408412
Ian K. Smith,9781250114945
Brené Brown,9781592858491
Jeff Kinney,9781419740275
R. J. Palacio,9780375869020
James Patterson,9780316411561
Chris Grabenstein,9780316411561
Katherine A. Applegate,9780062335562
Roshani Chokshi,9781368013840
Fred Rogers,9781683691136
Emily Winfield Martin,9780385376716
Joanna Gaines,9781400314225
Julianna Swaney,9781400314225
Adam Rubin,9780803736801
Daniel Salmieri,9780803736801
Matthew A. Cherry,9780525553366
Matthew Cherry,9780525553366
Drew Daywalt,9780399255373
B. J. Novak,9780803741713
Paris Rosenthal,9780062422514
Jason Rosenthal,9780062422514
Dav Pilkey,9781338236576
Jeff Kinney,9781419727436
J. K. Rowling,9780590353427
Dav Pilkey,9781338271508
Stephanie Garber,9781250157669
Rick Riordan,9780786838653
Editorial Universe,9780786838653
Jesse Bernstein,9780786838653
Roberta Edwards,9780448449074
Shannon Hale,9781536206869
Dean Hale,9781536206869
Leuyen Pham,9781536206869
Aaron Blabey,9780545912402
Rachael Lippincott,9781534437333
Angie Thomas,9780062498533
Elizabeth Acevedo,9780062662835
Christine Riccio,9781250299253
Hafsah Faizal,9780374311544
Cassandra Clare,9781481495080
Wesley Chu,9781481495080
Wesley Chu,9781481495080
Angie Thomas,9780062498564
Jennifer Donnelly,9781338268461
Tomi Adeyemi,9781250170972
George R. R. Martin,9781415900642
John Carreyrou,9781524731663
Abby Wambach,9781250217707
Ray Dalio,9781501124020
James Clear,9780735211292
Eric Schmidt,9780062839268
Jonathan Rosenberg,9780062839268
Alan Eagle,9780062839268
Mike Bayer,9780062911735
Jocko Willink,9781250183866
Angela Duckworth,9781501111112
Daniel Kahneman,9780374533557
Yuval Noah Harari,9780062316110
Giuseppe Bernardi,9780062316110
David Vandermeulen,9780062316110
Daniel Casanave,9780062316110
Bessel A. Van Der Kolk,9780143127741
Graham Hancock,9781250153739
David Wallace-Wells,9780525576709
Matthew P. Walker,9781501144325
Bill McKibben,9781250178268
Steven H. Strogatz,9781328879981
Daniel Kahneman,9780374533557
Atul Gawande,9781250076229
Abby Wambach,9781250217707
Tyler Kepner,9780385541015
Wright Thompson,9780143133872
Keith O'Brien,9781328592798
Ron Darling,9781250184382
Phil Knight,9781501135927
Philip H. Knight,9781501135927
Jeff Benedict,9781501126444
Armen Keteyian,9781501126444
Bob Klapisch,9781328589354
Paul Solotaroff,9781328589354
James Patterson,9781538713822
Alex Abramovich,9781538713822
Brian Windhorst,9781538730874
Mary Kay Andrews,9781250126061
Margaret Atwood,9780385490818
Shari Lapena,9780525505310
James Comey,9781250192455
James B. Comey,9781250192455
James Comey,9781250192455
Yuval Noah Harari,9780062316110
Giuseppe Bernardi,9780062316110
David Vandermeulen,9780062316110
Daniel Casanave,9780062316110
Michelle McNamara,9780062319784
David Grann,9780307742483
Tara Westover,9780399590504
J. D. Vance,9780062300553
Danielle Steel,9781101884034
David Baldacci,9781538761397
Kyf Brewer,9781538761397
Orlagh Cassidy,9781538761397
Mary Kay Andrews,9781250126061
Lisa Wingate,9780425284681
Celeste Ng,9780735224292
Michael Ondaatje,9780525521198
A. J. Finn,9780062678416
Kristin Hannah,9780312577230
Rachel Kushner,9781476756554
James Comey,9781250192455
James B. Comey,9781250192455
James Comey,9781250192455
Michelle McNamara,9780062319784
Tara Westover,9780399590504
Ronan Farrow,9780393652109
Madeleine Korbel Albright,9780062802187
Margaret Atwood,9780385490818
Rupi Kaur,9781449474256
Rupi Kaur,9781449486792
Kevin Kwan,9780345803788
Michael Connelly,9781455524174
Ernest Cline,9780307887443
Ruth Ware,9781501132957
Jodi Picoult,9780345544971
Anthony Doerr,9781501173219
Jesmyn Ward,9781501126079
Nora Roberts,9781250123084
Min Jin Lee,9781455563920
Ruth Ware,9781501156205
Yuval Noah Harari,9780062316110
Giuseppe Bernardi,9780062316110
David Vandermeulen,9780062316110
Daniel Casanave,9780062316110
David Grann,9780307742483
J. D. Vance,9780062300553
Atul Gawande,9781250076229
Daniel Kahneman,9780374533557
Bryan Stevenson,9780812984965
Erik Larson,9780375725609
Matthew Desmond,9780553447453
Malcolm Gladwell,9780316017930
Charles Duhigg,9780812981605
Jeannette Walls,9780743247542
Michelle Alexander,9781595586438
Michelle Alexander,9781595586438
Karen Chilton,9781595586438
Joanna Gaines,9780062820150
Marah Stets,9780062820150
Mark Manson,9780062457714
Gary Chapman,9780802412706
Rachel Hollis,9781400201655
William H. McRaven,9781455570249
William H. McRaven,9781455570249
Make Your Make Your Bed,9781455570249
Bob Goff,9780718078133
Ray Dalio,9781501124020
R. J. Palacio,9780375869020
Erin Entrada Kelly,9780062414151
Peter Brown,9780316381994
Katherine A. Applegate,9781250043221
Katherine A. Applegate,9780062335524
Roshani Chokshi,9781368012355
Jill Twiss,9781452173801
Marlon Bundo,9781452173801
Emily Winfield Martin,9780385376716
Kobi Yamada,9781938298073
Jean Reagan,9780385753845
Adam Rubin,9780803736801
Daniel Salmieri,9780803736801
Eric Carle,9781524785895
Mo Willems,9781484799673
Victoria Aveyard,9780062422996
Dav Pilkey,9780545935180
Rick Riordan,9781484746431
Jeff Kinney,9781419725456
J. K. Rowling,9780590353427
Dav Pilkey,9780545499088
Rachel Renée Russell,9781534405608
Rick Riordan,9780786838653
Editorial Universe,9780786838653
Jesse Bernstein,9780786838653
Angie Thomas,9780062498533
Tomi Adeyemi,9781250170972
John Green,9780525555360
Lisa Wingate,9781524780685
Madeline Miller,9781478975311
Madeleine Korbel Albright,9780062802248
Ray Dalio,9781501124020
Angela Duckworth,9781501111105
Kim Malone Scott,9781250103505
Charles Duhigg,9780812981605
Daniel H. Pink,9780735210622
Daniel Kahneman,9780374533557
Stephen Hawking,9780553380163
Yuval Noah Harari,9780062316097
Giuseppe Bernardi,9780062316097
David Vandermeulen,9780062316097
Daniel Casanave,9780062316097
Steven Pinker,9780525427575
Atul Gawande,9781250076229
Nick Caruso,9780316484152
Dani Rabaiotti,9780316484152
Charles Duhigg,9780812981605
Daniel H. Pink,9780735210622
Tim Tebow,9780735289888
Daniel James Brown,9780143125471
Ray Allen,9780062675477
Michael Arkush,9780062675477
Elgin Baylor,9780544617056
Alan Eisenstock,9780544617056
William Finnegan,9780143109396
